Date,Price,Open,High,Low,Vol.,Change %
01-02-2018,858.46,866.28,874.69,783.32,146.31M,-0.70%
01-01-2018,864.53,829.82,891.2,815.16,133.38M,4.37%
01-12-2017,828.33,831.39,844.38,775.81,122.02M,-0.05%
01-11-2017,828.78,852.34,862.91,785.12,132.09M,-2.05%
01-10-2017,846.14,714.97,861.38,706.29,151.20M,20.48%
01-09-2017,702.29,719.4,784.67,700.67,176.23M,-2.05%
01-08-2017,716.99,729.7,748.65,687.99,129.81M,-1.28%
01-07-2017,726.3,624.23,733.63,616.49,224.09M,17.04%
01-06-2017,620.54,599.27,649.95,588.61,170.89M,2.93%
01-05-2017,602.87,630.43,630.43,582.36,148.18M,-3.91%
01-04-2017,627.38,603.45,660,601.23,208.78M,5.62%
01-03-2017,593.97,557.63,601.5,551.76,302.50M,6.69%
01-02-2017,556.71,470.4,565.14,459.56,232.43M,18.45%
01-01-2017,469.99,487.44,493.51,455.42,125.07M,-3.44%
01-12-2016,486.72,449.67,487.89,443.6,133.21M,9.33%
01-11-2016,445.19,472.74,474.83,418.19,132.09M,-5.82%
01-10-2016,472.69,488.79,506.44,469.18,124.86M,-3.00%
01-09-2016,487.3,473.5,507.92,450.7,207.45M,2.23%
01-08-2016,476.65,457.76,482.94,442.2,124.83M,4.44%
01-07-2016,456.37,437.41,467.09,436.18,107.21M,4.72%
01-06-2016,435.79,430.76,447.04,419.72,120.54M,1.18%
01-05-2016,430.71,440.22,447.4,416.23,137.69M,-2.53%
01-04-2016,441.89,467.25,481.1,440.16,161.22M,-5.98%
01-03-2016,469.99,433.79,474.85,433.77,143.48M,8.13%
01-02-2016,434.67,467.63,468.46,399.35,165.29M,-6.64%
01-01-2016,465.59,454.07,490.02,439.19,240.46M,2.05%
01-12-2015,456.23,433.48,458.53,410.48,133.94M,5.05%
01-11-2015,434.31,426.73,446.29,409.17,110.70M,1.91%
01-10-2015,426.15,392.99,438.34,386.08,116.57M,9.90%
01-09-2015,387.75,383.97,404.48,371.02,145.86M,0.75%
01-08-2015,384.87,450.12,455.89,367.83,152.91M,-14.57%
01-07-2015,450.5,450.12,480.18,442.09,144.91M,0.18%
01-06-2015,449.71,395.71,456.01,392.85,206.59M,14.04%
01-05-2015,394.36,389.5,411.63,385.45,133.66M,1.70%
01-04-2015,387.77,370.93,424.62,365.62,177.78M,4.40%
